"Holdings and weightings as of 7:28 PM ET 06/16/2020",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"MRK","Merck & Co Inc","5.23%","76.19","-0.78","-1.01%","7.87 M","65.25 - 92.64",
"MYL","Mylan NV","0.22%","16.05","-0.09","-0.53%","3.10 M","12.75 - 23.11",
"PFE","Pfizer Inc","4.93%","33.62","+0.22","+0.66%","17.45 M","27.88 - 44.56",
"PKI","PerkinElmer Inc","0.29%","98.86","-0.02","-0.02%","325.41 K","62.91 - 105.70",
"PRGO","Perrigo Company plc","0.19%","54.24","+0.77","+1.44%","340.30 K","40.01 - 63.86",
"REGN","Regeneron Pharmaceuticals Inc","1.60%","601.94","+9.04","+1.52%","451.88 K","271.37 - 625.79",
"SYK","Stryker Corp","1.65%","191.11","-0.36","-0.19%","570.43 K","124.54 - 226.30",
"TMO","Thermo Fisher Scientific","3.72%","350.51","+3.29","+0.95%","817.03 K","250.21 - 356.42",
"UNH","Unitedhealth Group Inc","7.41%","293.78","+0.78","+0.27%","1.67 M","187.72 - 315.84",
"VAR","Varian Medical Systems Inc","0.29%","118.27","+0.44","+0.37%","172.45 K","89.62 - 150.06",
"VRTX","Vertex Pharmaceuticals Inc","1.88%","280.52","+6.75","+2.47%","1.13 M","165.23 - 295.55",
"WAT","Waters Corp","0.33%","188.94","-0.47","-0.25%","193.68 K","154.39 - 245.68",
"XRAY","Dentsply Sirona Inc.","0.27%","44.84","-0.34","-0.75%","496.98 K","31.58 - 60.87",
"ZTS","Zoetis Inc","1.73%","136.95","+0.71","+0.52%","589.45 K","90.14 - 146.26",
"UHS","Universal Health Services B","0.22%","98.06","-3.94","-3.86%","389.52 K","65.20 - 157.79",
"ANTM","Anthem Inc","1.81%","267.25","-0.18","-0.07%","670.46 K","171.03 - 312.48",
"HCA","HCA Healthcare Inc","0.74%","100.67","-3.59","-3.44%","1.05 M","58.38 - 151.97",
"HSIC","Henry Schein Inc","0.23%","59.89","+0.10","+0.17%","600.61 K","41.85 - 73.99",
"ZBH","Zimmer Biomet Holdings Inc","0.72%","128.60","-2.46","-1.88%","613.36 K","74.37 - 161.11",
"ILMN","Illumina Inc","1.39%","362.45","+7.41","+2.09%","471.53 K","196.78 - 380.76",
"CNC","Centene Corp","1.00%","63.81","-0.27","-0.42%","1.59 M","41.62 - 74.70",
"HOLX","Hologic Inc","0.38%","53.00","+0.17","+0.33%","955.52 K","26.49 - 55.25",
"DHR","Danaher Corp","2.94%","176.43","+1.53","+0.87%","1.13 M","119.60 - 176.44",
"MTD","Mettler-Toledo Intl","0.51%","780.53","-3.52","-0.45%","37.43 K","579.40 - 873.51",
"COO","Cooper Companies Inc","0.40%","301.81","+1.71","+0.57%","131.70 K","236.68 - 365.68",
"IDXX","IDEXX Laboratories Inc","0.72%","317.07","+4.58","+1.47%","192.44 K","168.65 - 324.30",
"INCY","Incyte Corp","0.46%","96.45","+0.92","+0.96%","432.61 K","62.48 - 104.81",
"ALGN","Align Technology Inc","0.51%","263.17","-1.62","-0.61%","296.17 K","127.88 - 306.66",
"RMD","ResMed Inc","0.65%","172.29","+3.30","+1.95%","366.15 K","108.85 - 177.99",
"IQV","IQVIA Holdings Inc","0.68%","139.89","-1.15","-0.82%","750.05 K","81.79 - 169.14",
"CVS","CVS Health Corporation","2.28%","65.03","-0.55","-0.84%","4.76 M","52.04 - 77.03",
"ABMD","Abiomed Inc","0.30%","255.17","+6.03","+2.42%","210.37 K","119.01 - 285.77",
"TFX","Teleflex Inc","0.45%","366.53","+2.36","+0.65%","45.43 K","221.27 - 398.65",
"STE","STERIS plc","0.35%","155.47","+0.57","+0.36%","157.11 K","105.69 - 168.98",
"DXCM","DexCom Inc","0.96%","404.15","+11.15","+2.84%","862.27 K","138.28 - 428.59",
"WST","West Pharmaceutical Services Inc","0.42%","211.73","+1.25","+0.59%","292.16 K","119.76 - 221.96",
