Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
John Wiley & Sons Inc. Class A,JW.A,96822320,2965668,0.694580,Communication Services,2672257.000,USD
PPG Industries Inc.,PPG,69350610,2698470,0.690052,Materials,1016659.000,USD
Clorox Company,CLX,18905410,2204026,0.690021,Consumer Staples,485903.000,USD
Northwest Natural Holding Co.,NWN,66765N10,BFNR303,0.675990,Utilities,1850015.000,USD
Colgate-Palmolive Company,CL,19416210,2209106,0.672038,Consumer Staples,1404181.000,USD
W.W. Grainger Inc.,GWW,38480210,2380863,0.671396,Industrials,338229.000,USD
Procter & Gamble Company,PG,74271810,2704407,0.660569,Consumer Staples,856849.000,USD
Johnson & Johnson,JNJ,47816010,2475833,0.659721,Health Care,702729.000,USD
Community Bank System Inc.,CBU,20360710,2222062,0.650638,Financials,1770166.000,USD
Linde plc,LIN,G5494J10,BZ12WP8,0.636729,Materials,463174.000,USD
Cincinnati Financial Corporation,CINF,17206210,2196888,0.629107,Financials,1530072.000,USD
Dover Corporation,DOV,26000310,2278407,0.623643,Industrials,1000566.000,USD
Donaldson Company Inc.,DCI,25765110,2276467,0.590309,Industrials,1980722.000,USD
NextEra Energy Inc.,NEE,65339F10,2328915,0.588736,Utilities,363999.000,USD
Commerce Bancshares Inc.,CBSH,20052510,2213204,0.580246,Financials,1456459.000,USD
Medtronic Plc,MDT,G5960L10,BTN1Y11,0.575951,Health Care,942564.000,USD
Atmos Energy Corporation,ATO,04956010,2315359,0.565468,Utilities,862648.000,USD
Essential Utilities Inc.,WTRG,29670G10,BLCF3J9,0.559888,Utilities,2037066.000,USD
Brady Corporation Class A,BRC,10467410,2117726,0.550843,Industrials,1767906.000,USD
Lancaster Colony Corporation,LANC,51384710,2503206,0.547986,Consumer Staples,548050.000,USD
Hormel Foods Corporation,HRL,44045210,2437264,0.504748,Consumer Staples,1593182.000,USD
McCormick & Company Incorporated,MKC,57978020,2550161,0.493934,Consumer Staples,436841.000,USD
Cintas Corporation,CTAS,17290810,2197137,0.492158,Industrials,278350.000,USD
MSA Safety Inc.,MSA,55349810,BKM4S16,0.456099,Industrials,647070.000,USD
Walmart Inc.,WMT,93114210,2936921,0.444342,Consumer Staples,557757.000,USD
Abbott Laboratories,ABT,00282410,2002305,0.433310,Health Care,732597.000,USD
SEI Investments Company,SEIC,78411710,2793610,0.426835,Financials,1176996.000,USD
Church & Dwight Co. Inc.,CHD,17134010,2195841,0.405311,Consumer Staples,798276.000,USD
California Water Service Group,CWT,13078810,2165383,0.394957,Utilities,1299265.000,USD
Expeditors International of Washington Inc.,EXPD,30213010,2325507,0.392997,Industrials,804901.000,USD
Carlisle Companies Incorporated,CSL,14233910,2176318,0.389814,Industrials,496037.000,USD
Graco Inc.,GGG,38410910,2380443,0.382472,Industrials,1216788.000,USD
Aptargroup Inc.,ATR,03833610,2045247,0.365785,Materials,519472.000,USD
Ross Stores Inc.,ROST,77829610,2746711,0.355172,Consumer Discretionary,598238.000,USD
American States Water Company,AWR,02989910,2267171,0.349560,Utilities,687764.000,USD
Nordson Corporation,NDSN,65566310,2641838,0.344844,Industrials,273075.000,USD
Ecolab Inc.,ECL,27886510,2304227,0.343164,Materials,259926.000,USD
Franklin Electric Co. Inc.,FELE,35351410,2350383,0.338508,Industrials,1025445.000,USD
Brown-Forman Corporation Class B,BF.B,11563720,2146838,0.336937,Consumer Staples,783184.000,USD
Sherwin-Williams Company,SHW,82434810,2804211,0.336338,Materials,88196.000,USD
S&P Global Inc.,SPGI,78409V10,BYV2325,0.315281,Financials,147553.000,USD
FactSet Research Systems Inc.,FDS,30307510,2329770,0.308477,Financials,152420.000,USD
Stepan Company,SCL,85858610,2845005,0.303987,Materials,501354.000,USD
RLI Corp.,RLI,74960710,2719070,0.302733,Financials,562927.000,USD
Becton Dickinson and Company,BDX,07588710,2087807,0.301264,Health Care,195648.000,USD
RenaissanceRe Holdings Ltd.,RNR,G7496G10,2728429,0.283546,Financials,244845.000,USD
Brown & Brown Inc.,BRO,11523610,2692687,0.277591,Financials,1023381.000,USD
Casey's General Stores Inc.,CASY,14752810,2179414,0.236382,Consumer Staples,237124.000,USD
Roper Technologies Inc.,ROP,77669610,2749602,0.206843,Industrials,78974.000,USD
Otis Worldwide Corporation,OTIS,68902V10,BK531S8,0.191729,Industrials,513219.000,USD
Carrier Global Corp.,CARR,14448C10,BK4N0D7,0.152812,Industrials,1026393.000,USD
West Pharmaceutical Services Inc.,WST,95530610,2950482,0.120672,Health Care,84624.000,USD
ChampionX Corporation,CHX,15872M10,BMW7N69,0.000002,Energy,25.000,USD
